"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.658687500E-2,2.105683982E-1,9.389435768E0,-2.809173822E0,9.802923067E0
1.867661400E-2,2.009970993E-1,9.418149948E0,-2.833101988E0,9.837093837E0
2.076630200E-2,1.722832322E-1,9.451649666E0,-2.785245657E0,9.854996514E0
2.285598900E-2,1.818545163E-1,9.475577354E0,-2.790031195E0,9.879469183E0
2.494567700E-2,1.962114573E-1,9.446864128E0,-2.857030153E0,9.871391092E0
2.703536400E-2,2.153540403E-1,9.389435768E0,-2.914458036E0,9.833714814E0
2.912510400E-2,2.249253243E-1,9.332008362E0,-2.928814888E0,9.783400642E0
3.121479100E-2,1.866401732E-1,9.298508644E0,-2.933600664E0,9.752082363E0
3.330447900E-2,2.009970993E-1,9.279366493E0,-2.943171740E0,9.737006842E0
3.539416600E-2,1.770688742E-1,9.250652313E0,-2.928814888E0,9.704837879E0
3.748385400E-2,1.914258152E-1,9.255437851E0,-2.919243574E0,9.706789207E0
3.957359400E-2,2.009970993E-1,9.241081238E0,-2.952743053E0,9.703436186E0
4.166328100E-2,2.009970993E-1,9.231510162E0,-2.924029350E0,9.685614454E0
4.375296900E-2,2.057827413E-1,9.245866776E0,-2.967100143E0,9.712470449E0
4.584265600E-2,2.249253243E-1,9.255437851E0,-2.928814888E0,9.710390201E0
4.793234400E-2,2.488535494E-1,9.255437851E0,-2.967100143E0,9.722589221E0
5.002208300E-2,2.392822653E-1,9.260223389E0,-2.938386202E0,9.718184331E0
5.211177100E-2,2.536391914E-1,9.255437851E0,-2.962314367E0,9.721253472E0
5.420145800E-2,2.679961324E-1,9.255437851E0,-2.933600664E0,9.712927705E0
5.629114600E-2,2.775674164E-1,9.274580956E0,-2.943171740E0,9.734328711E0
5.838083300E-2,2.679961324E-1,9.269794464E0,-2.971885681E0,9.738224470E0
6.047052100E-2,2.679961324E-1,9.269794464E0,-2.976671457E0,9.739686047E0
6.256026000E-2,2.775674164E-1,9.260223389E0,-2.981456995E0,9.732310450E0
6.464994800E-2,2.967100143E-1,9.269794464E0,-3.005385160E0,9.749331577E0
