time_s,resp
0.0000,-13.4942
0.2500,4.5820
0.5000,17.4085
0.7500,24.0621
1.0000,27.8391
1.2500,31.6466
1.5000,32.1502
1.7500,27.8238
2.0000,24.0850
2.2500,20.7735
2.5000,13.8223
2.7500,-6.7719
3.0000,-16.2487
3.2500,-20.7963
3.5000,-22.3148
3.7500,-15.6764
4.0000,2.9567
4.2500,16.9202
4.5000,23.9629
4.7500,29.2431
5.0000,31.1583
5.2500,28.0299
5.5000,24.4513
5.7500,20.9795
6.0000,21.1168
6.2500,7.7409
6.5000,-8.5803
6.7500,-14.6692
7.0000,-17.1262
7.2500,-17.2635
7.5000,-3.6587
7.7500,11.7850
8.0000,22.5971
8.2500,29.3117
8.5000,31.0286
8.7500,26.5267
9.0000,21.5670
9.2500,18.1792
9.5000,13.9291
9.7500,-3.7655
10.0000,-12.3878
10.2500,-16.5386
10.5000,-18.2555
10.7500,-8.6489
11.0000,8.2216
11.2500,21.2694
11.5000,26.3741
11.7500,29.1591
12.0000,28.4572
12.2500,24.4284
12.5000,21.4754
12.7500,20.6819
13.0000,18.3470
13.2500,-0.0343
13.5000,-9.0533
13.7500,-13.5323
14.0000,-15.7375
14.2500,-15.2568
14.5000,-1.8427
14.7500,12.6319
15.0000,21.4373
15.2500,27.0913
15.5000,29.1897
15.7500,26.1757
16.0000,22.2843
16.2500,17.5306
16.5000,17.8892
16.7500,9.1067
17.0000,-5.5892
17.2500,-13.1279
17.5000,-16.8591
17.7500,-15.3865
18.0000,0.2938
18.2500,13.1279
18.5000,18.8583
18.7500,23.1770
19.0000,30.0671
19.2500,28.3580
19.5000,23.5661
19.7500,17.5611
20.0000,5.8028
20.2500,-7.2297
20.5000,-13.7994
20.7500,-16.8591
21.0000,-17.6908
21.2500,-5.8105
21.5000,11.0372
21.7500,21.2771
22.0000,25.1761
22.2500,26.7709
22.5000,27.6941
22.7500,25.2982
23.0000,22.2995
23.2500,20.4682
23.5000,21.9867
23.7500,19.4153
24.0000,-0.2175
24.2500,-9.5798
24.5000,-14.3793
24.7500,-16.8744
25.0000,-16.0427
25.2500,-0.7897
25.5000,14.9287
25.7500,24.0545
26.0000,29.0828
26.2500,28.8692
26.5000,25.3364
26.7500,23.2151
27.0000,22.9099
27.2500,19.2856
27.5000,-1.1255
