time_s,hr,eeg_alpha
0.0000,51.4631,8.6892
1.0000,51.2716,3.0767
2.0000,50.0406,13.4967
3.0000,50.3937,5.4364
4.0000,51.8308,3.4818
5.0000,51.5831,2.8628
6.0000,50.9506,3.3292
7.0000,51.7349,5.6857
8.0000,52.9312,3.4815
9.0000,51.0409,6.8578
10.0000,50.8575,7.0521
11.0000,52.1303,6.5078
12.0000,51.6361,8.4802
13.0000,51.1650,7.6110
14.0000,51.1487,6.1506
15.0000,50.9776,4.6080
16.0000,50.0300,6.3934
17.0000,50.3831,4.6386
18.0000,51.9691,5.9881
19.0000,51.1529,8.1164
20.0000,50.8327,4.5196
21.0000,51.1384,5.1965
22.0000,50.6287,5.8850
23.0000,49.5868,4.6152
24.0000,49.2536,4.2278
25.0000,50.5815,2.1658
26.0000,50.4274,5.7481
27.0000,49.7245,6.0324
28.0000,50.2579,5.3494
29.0000,51.4956,9.2830
30.0000,51.3074,5.2379
31.0000,51.1214,7.1828
32.0000,52.0127,3.4407
33.0000,51.8977,7.2964
34.0000,51.0638,5.0875
35.0000,51.1391,5.0438
36.0000,51.4891,5.1887
37.0000,51.1161,6.5950
38.0000,50.9061,3.3221
39.0000,51.7705,5.4786
40.0000,51.8897,7.6491
41.0000,51.4212,7.2197
42.0000,51.7241,4.7631
43.0000,51.6827,6.4924
44.0000,50.7618,7.0140
45.0000,51.4419,5.5010
46.0000,51.8598,7.5820
47.0000,51.0633,5.4363
48.0000,50.6522,4.5654
49.0000,51.8207,5.1165
50.0000,50.0091,11.8580
51.0000,50.3513,5.9103
52.0000,51.0132,5.2984
53.0000,51.0482,6.1170
54.0000,50.5261,5.4029
55.0000,50.0000,4.5351
56.0000,50.0498,11.8519
57.0000,50.9552,3.7409
58.0000,50.2837,5.8670
59.0000,50.2401,5.5192
60.0000,50.8752,7.4225
61.0000,51.4410,9.5749
62.0000,51.2821,4.3731
63.0000,51.2821,5.8264
64.0000,53.0781,4.4117
65.0000,52.1403,3.6437
66.0000,51.0795,9.6112
67.0000,51.6450,7.0343
68.0000,52.2814,4.9452
69.0000,51.1410,5.6945
70.0000,51.5673,11.9986
71.0000,53.1950,3.7900
72.0000,51.7291,4.3459
73.0000,51.8598,3.4612
74.0000,52.1739,9.3986
75.0000,51.8347,3.9222
76.0000,51.5510,5.7199
77.0000,52.4280,12.0028
78.0000,52.6296,6.5231
79.0000,52.0457,6.8860
80.0000,57.0589,3.6254
81.0000,61.2427,2.9156
82.0000,53.9477,11.1562
83.0000,48.7246,4.8059
84.0000,47.7042,5.3040
85.0000,49.4567,9.9734
86.0000,48.6440,7.4965
87.0000,48.8825,4.4770
88.0000,49.2118,4.9358
89.0000,48.6344,4.4279
90.0000,48.3382,4.4256
91.0000,52.6525,4.0788
92.0000,58.5597,5.2847
93.0000,48.4935,5.3955
94.0000,47.5596,6.7254
95.0000,49.3781,4.4669
96.0000,49.6977,6.6369
97.0000,47.7248,4.9299
98.0000,49.3510,4.1908
99.0000,51.6888,10.2085
100.0000,50.7500,6.8411
101.0000,49.7590,4.8416
102.0000,50.3287,5.2873
103.0000,51.0788,5.6409
104.0000,49.5156,5.2246
105.0000,48.5082,5.2147
106.0000,49.4469,3.3200
107.0000,49.4214,7.8429
108.0000,48.1792,4.5706
109.0000,49.7925,4.5048
110.0000,49.7925,14.8650
111.0000,50.3705,6.3816
112.0000,51.4771,5.3898
113.0000,56.6068,3.1317
114.0000,59.0449,4.4675
115.0000,53.4663,4.0846
116.0000,48.0092,5.3546
117.0000,50.1767,4.9532
118.0000,48.9122,8.6786
119.0000,50.0223,6.0511
120.0000,50.7443,5.1177
121.0000,50.3001,3.8949
122.0000,49.6779,5.4085
123.0000,50.1988,4.3966
124.0000,52.0858,6.1471
125.0000,54.4273,7.6360
126.0000,54.0651,5.5866
127.0000,58.6785,6.7313
128.0000,59.6348,5.3940
129.0000,53.3439,4.2408
130.0000,49.1961,4.3286
131.0000,51.9557,3.8520
132.0000,54.2486,7.1555
133.0000,49.5017,3.9966
134.0000,51.6396,3.4156
135.0000,51.8265,6.2681
136.0000,51.9578,5.0193
137.0000,52.5787,3.4405
138.0000,52.9887,6.4330
139.0000,53.1234,3.7047
