time_s,hr,eeg_alpha
0.0000,52.5582,5.1966
1.0000,51.2239,3.0705
2.0000,52.2740,3.7289
3.0000,52.6316,4.1010
4.0000,51.4153,5.4588
5.0000,50.9847,7.4498
6.0000,53.2270,5.9471
7.0000,57.5450,5.1558
8.0000,63.2945,3.0694
9.0000,58.6872,3.9160
10.0000,53.9577,3.4961
11.0000,45.8256,7.4883
12.0000,45.5637,8.1000
13.0000,46.8581,5.9579
14.0000,47.5070,8.0303
15.0000,47.0676,5.9705
16.0000,47.7967,5.1296
17.0000,48.2279,6.3131
18.0000,48.2354,5.3145
19.0000,48.2731,3.2104
20.0000,49.3956,4.8978
21.0000,49.9100,3.8497
22.0000,50.4406,8.3195
23.0000,51.2350,5.6097
24.0000,52.5158,6.0756
25.0000,54.7959,3.9739
26.0000,58.6490,10.2996
27.0000,62.4444,5.4231
28.0000,61.5824,4.5724
29.0000,56.7556,7.8360
30.0000,52.5173,3.7338
31.0000,50.1500,2.2996
32.0000,48.8332,6.5030
33.0000,47.6147,6.9146
34.0000,49.5553,5.6691
35.0000,52.3245,3.7170
36.0000,53.1769,3.8121
37.0000,57.2151,7.6311
38.0000,59.0713,5.0709
39.0000,53.8728,4.9652
40.0000,48.1945,8.7035
41.0000,49.6274,3.6454
42.0000,50.1000,2.7722
43.0000,48.7578,4.0437
44.0000,47.5614,6.2479
45.0000,48.4944,5.1875
46.0000,48.5830,4.3922
47.0000,49.6174,4.1640
48.0000,50.6831,7.0130
49.0000,50.7934,3.4512
50.0000,50.1561,2.6546
51.0000,51.6424,6.4538
52.0000,52.6727,3.9855
53.0000,51.3388,3.4532
54.0000,49.8888,7.2798
55.0000,49.9078,4.7058
56.0000,50.4427,3.7255
57.0000,46.8712,5.4907
58.0000,48.4662,10.5846
59.0000,60.4332,20.5052
60.0000,68.0837,14.7874
61.0000,67.4157,12.9185
62.0000,66.4179,5.2839
63.0000,58.0771,7.3308
64.0000,45.0822,4.3761
65.0000,43.6395,3.7839
66.0000,46.4876,7.9215
67.0000,45.4931,5.1501
68.0000,46.4566,3.4313
69.0000,48.1021,2.8511
70.0000,48.8094,3.1167
71.0000,49.0933,2.8396
72.0000,50.9978,3.1640
73.0000,54.2965,4.3345
74.0000,53.8597,3.2709
75.0000,55.4694,7.6848
76.0000,60.8902,8.8104
77.0000,55.6055,4.0388
78.0000,53.8867,6.1044
79.0000,54.0541,9.3893
80.0000,56.2625,8.8763
81.0000,53.6075,9.3290
82.0000,45.0482,6.7451
83.0000,46.9915,3.2372
84.0000,50.2467,2.2050
85.0000,50.0761,4.4206
86.0000,50.5308,6.8453
87.0000,54.7249,3.8407
88.0000,60.1168,3.6521
89.0000,59.3134,5.1014
90.0000,54.0774,4.4463
91.0000,53.2354,8.6752
92.0000,60.0827,9.1487
93.0000,57.5413,6.6310
94.0000,48.6527,7.1209
95.0000,49.5682,7.6442
96.0000,52.0819,6.0767
97.0000,51.4502,4.7762
98.0000,49.9453,3.9847
99.0000,53.1838,12.6295
100.0000,53.7990,4.0555
101.0000,53.1669,4.7668
102.0000,61.1333,2.3343
103.0000,60.1485,3.8712
104.0000,57.9586,4.9953
105.0000,58.6683,4.5137
106.0000,61.5118,8.3917
107.0000,54.5072,4.7831
108.0000,55.9767,4.2815
109.0000,59.6717,12.0153
110.0000,65.0718,16.7893
111.0000,64.4669,9.5872
112.0000,60.3019,6.0915
113.0000,58.9569,4.8241
114.0000,49.0729,5.4617
115.0000,43.5093,5.5248
116.0000,45.6166,3.0159
117.0000,47.0257,7.0494
118.0000,46.2052,4.2018
119.0000,47.2655,3.0205
120.0000,50.7841,2.9050
121.0000,53.0310,4.1134
122.0000,46.9945,3.3070
123.0000,49.8921,3.1261
124.0000,51.5526,2.6744
125.0000,50.9016,3.6806
126.0000,49.7279,3.2507
127.0000,50.1529,3.9386
128.0000,53.2464,3.0333
129.0000,51.3149,5.2195
130.0000,51.7299,3.2993
131.0000,53.1431,4.0361
132.0000,51.6245,8.9760
133.0000,49.7889,7.7560
134.0000,52.3039,6.9240
135.0000,59.2773,14.4654
136.0000,59.5426,5.2998
137.0000,56.9637,6.0412
138.0000,53.8710,8.0078
139.0000,56.2431,6.9917
140.0000,56.1018,6.3158
141.0000,48.5704,8.3210
142.0000,47.6060,6.1116
143.0000,50.1690,6.2469
144.0000,48.4797,5.7692
145.0000,47.7147,8.1548
146.0000,50.3585,12.2816
147.0000,51.4152,7.3431
148.0000,57.0607,3.1823
149.0000,63.7978,3.1537
150.0000,61.0134,8.2670
151.0000,56.0328,6.2699
152.0000,56.4388,4.9756
153.0000,55.9067,3.7895
154.0000,52.2888,3.2345
155.0000,54.5124,3.1940
156.0000,59.2951,5.7747
157.0000,56.2366,9.8270
