time_s,resp
0.0000,20.5064
0.2500,16.3555
0.5000,9.1067
0.7500,3.8571
1.0000,2.1174
1.2500,1.2094
1.5000,5.1466
1.7500,12.2428
2.0000,17.1949
2.2500,20.4835
2.5000,22.0401
2.7500,22.5361
3.0000,23.3906
3.2500,24.0850
3.5000,22.9099
3.7500,13.8223
4.0000,4.7880
4.2500,-1.8580
4.5000,-6.6651
4.7500,-9.2365
5.0000,-9.8621
5.2500,-11.7392
5.5000,-14.6769
5.7500,-6.1386
6.0000,3.1170
6.2500,8.9694
6.5000,13.1737
6.7500,16.1037
7.0000,18.0952
7.2500,18.9880
7.5000,14.2038
7.7500,6.4972
8.0000,0.0114
8.2500,-3.9258
8.5000,-3.1170
8.7500,4.7117
9.0000,10.9685
9.2500,15.2720
9.5000,18.0189
9.7500,19.4916
10.0000,20.1401
10.2500,20.6743
10.5000,19.4763
10.7500,20.8040
11.0000,15.3483
11.2500,6.6651
11.5000,0.8889
11.7500,-3.0483
12.0000,-6.4819
12.2500,-4.7041
12.5000,3.8876
12.7500,10.2513
13.0000,14.5319
13.2500,17.2712
13.5000,18.7514
13.7500,19.4763
14.0000,19.6365
14.2500,17.9731
14.5000,19.4763
14.7500,17.0957
15.0000,8.4887
15.2500,1.8122
15.5000,-3.0025
15.7500,-5.7036
16.0000,-3.0178
16.2500,5.3832
16.5000,11.6476
16.7500,15.7756
17.0000,18.4081
17.2500,19.9494
17.5000,20.7048
17.7500,20.3080
18.0000,19.0261
18.2500,15.0736
18.5000,8.3285
18.7500,2.5676
19.0000,-1.5833
19.2500,-3.1780
19.5000,4.6201
19.7500,11.5484
20.0000,16.0808
20.2500,18.4844
20.5000,20.0715
20.7500,21.2847
21.0000,21.5136
21.2500,19.3619
21.5000,16.8286
21.7500,14.4556
22.0000,8.6947
22.2500,2.7660
22.5000,-1.8656
22.7500,-4.3683
23.0000,2.3692
23.2500,10.3581
23.5000,15.5467
23.7500,18.4310
24.0000,20.4759
24.2500,21.8035
24.5000,22.1545
24.7500,19.8883
25.0000,19.2245
25.2500,15.7909
