time_s,flow
0.0000,-26.8498
0.2500,-25.2808
0.5000,-25.4579
0.7500,-15.0855
1.0000,39.0965
1.2500,79.7436
1.5000,90.2198
1.7500,72.2283
2.0000,55.2076
2.2500,-9.4139
2.5000,-84.1514
2.7500,-104.5482
3.0000,-64.0293
3.2500,-38.7790
3.5000,-31.5995
3.7500,-24.6093
4.0000,-23.6508
4.2500,-21.6789
4.5000,35.3114
4.7500,70.0549
5.0000,74.6764
5.2500,72.3871
5.5000,56.5324
5.7500,0.8791
6.0000,-71.1050
6.2500,-91.9719
6.5000,-68.6874
6.7500,-44.8352
7.0000,-30.1282
7.2500,-26.8437
7.5000,-24.2186
7.7500,-21.9719
8.0000,-16.4042
8.2500,36.6300
8.5000,91.3248
8.7500,75.7509
9.0000,68.6508
9.2500,59.7497
9.5000,-14.1758
9.7500,-92.5641
10.0000,-96.0501
10.2500,-60.5006
10.5000,-40.2442
10.7500,-28.1197
11.0000,-24.1758
11.2500,-24.9145
11.5000,-22.1490
11.7500,10.8608
12.0000,58.2173
12.2500,81.9536
12.5000,86.3004
12.7500,63.3578
13.0000,28.4921
13.2500,-53.4310
13.5000,-95.3480
13.7500,-83.0220
14.0000,-48.2173
14.2500,-32.2344
14.5000,-28.4432
14.7500,-23.5409
15.0000,-22.9182
15.2500,-23.0525
15.5000,23.0647
15.7500,60.7265
16.0000,69.9267
16.2500,79.7924
16.5000,72.2589
16.7500,16.9109
17.0000,-68.8584
17.2500,-90.7998
17.5000,-64.5726
17.7500,-46.8803
18.0000,-29.7802
18.2500,-25.7265
18.5000,-26.3614
18.7500,-22.6740
19.0000,-20.8852
19.2500,5.3602
19.5000,61.0012
19.7500,80.7509
20.0000,77.3382
20.2500,77.9548
20.5000,57.6984
20.7500,-45.8852
21.0000,-109.3834
21.2500,-87.6923
21.5000,-55.8852
21.7500,-36.6239
22.0000,-25.9829
22.2500,-25.7387
22.5000,-23.2173
22.7500,-21.7460
23.0000,2.3504
23.2500,62.8694
23.5000,88.2967
23.7500,74.6581
24.0000,73.0769
24.2500,56.6667
24.5000,-37.4664
24.7500,-109.2857
25.0000,-89.9939
25.2500,-54.4200
25.5000,-39.8046
25.7500,-27.1490
26.0000,-24.2674
26.2500,-25.3297
26.5000,-22.1429
26.7500,-5.2747
27.0000,44.4933
27.2500,72.8327
27.5000,83.5104
27.7500,65.9341
28.0000,48.5348
28.2500,-31.3919
28.5000,-86.8681
28.7500,-90.0000
29.0000,-55.1038
29.2500,-35.7998
29.5000,-29.5543
29.7500,-24.1697
30.0000,-22.8816
30.2500,-23.2967
30.5000,-14.0293
30.7500,40.5250
31.0000,63.2662
31.2500,74.5421
31.5000,81.2943
31.7500,63.3639
32.0000,4.9878
32.2500,-68.0708
32.5000,-91.5140
32.7500,-71.2943
33.0000,-44.5543
33.2500,-31.5263
33.5000,-27.9670
33.7500,-23.3822
34.0000,-21.0806
34.2500,23.3272
34.5000,94.1575
34.7500,89.1697
35.0000,82.1001
35.2500,75.0488
35.5000,83.1197
35.7500,-74.4200
36.0000,-105.6960
36.2500,-86.5140
36.5000,-64.7314
36.7500,-38.6325
37.0000,-28.6081
37.2500,34.7924
37.5000,131.4652
37.7500,104.4628
38.0000,92.4420
38.2500,66.0195
38.5000,25.9951
38.7500,-81.1661
39.0000,-111.4530
39.2500,-96.5751
39.5000,-58.9377
39.7500,-36.1416
40.0000,-30.6899
40.2500,-25.6960
40.5000,-24.1819
40.7500,15.9951
41.0000,91.3980
41.2500,93.6691
41.5000,67.1856
41.7500,63.4737
42.0000,-24.7070
42.2500,-93.0525
42.5000,-95.3785
42.7500,-56.8803
43.0000,-35.8425
43.2500,-30.8364
43.5000,-27.7839
43.7500,-24.8779
44.0000,-24.5665
44.2500,-19.2491
44.5000,41.4103
44.7500,88.7729
45.0000,70.2442
45.2500,70.7448
45.5000,56.7094
45.7500,-27.9731
46.0000,-102.6007
46.2500,-84.6764
46.5000,-54.5177
46.7500,-41.7094
47.0000,-29.5971
47.2500,-25.9768
47.5000,-26.6056
47.7500,-23.3944
48.0000,-22.0879
48.2500,7.8022
48.5000,63.4249
48.7500,72.5824
49.0000,70.5556
49.2500,74.2125
49.5000,49.2918
49.7500,-57.4298
50.0000,-111.0867
50.2500,-78.5409
50.5000,-48.2173
50.7500,-34.0354
51.0000,-27.6313
51.2500,-26.7949
51.5000,-24.6825
51.7500,-20.8669
52.0000,20.2503
52.2500,82.4908
52.5000,63.7179
52.7500,40.3236
53.0000,82.3260
53.2500,-5.3297
53.5000,-77.1917
53.7500,-77.9060
54.0000,-54.2002
54.2500,-42.1306
54.5000,-43.2051
54.7500,-11.1783
55.0000,135.2503
55.2500,288.6020
55.5000,331.5385
55.7500,220.9035
56.0000,-12.1795
56.2500,-71.7338
56.5000,-100.1893
56.7500,-79.9023
57.0000,-54.5910
57.2500,-63.2173
57.5000,-46.7399
57.7500,-32.0024
58.0000,-31.0928
58.2500,-32.4054
58.5000,144.2430
58.7500,302.5458
59.0000,303.0159
59.2500,115.5739
59.5000,-69.8596
59.7500,-98.7973
60.0000,-98.4188
60.2500,-79.3712
60.5000,-74.7253
60.7500,-68.9194
61.0000,-47.1917
61.2500,-24.9817
61.5000,128.2540
61.7500,309.6337
62.0000,243.7424
62.2500,-4.4383
62.5000,-123.5592
62.7500,-65.2930
63.0000,-43.6935
63.2500,-43.4615
63.5000,-42.3504
63.7500,-42.6801
64.0000,-41.8803
64.2500,-40.9280
64.5000,-40.7143
64.7500,-41.0745
65.0000,-39.9878
65.2500,-39.4994
65.5000,-36.3126
65.7500,-16.0012
66.0000,-0.3785
66.2500,-14.1026
66.5000,-36.6667
66.7500,-50.2442
67.0000,-55.7448
67.2500,-42.6740
67.5000,-38.5226
67.7500,-36.4347
68.0000,-34.2369
68.2500,-32.1856
68.5000,-0.7937
68.7500,30.6288
69.0000,21.2271
69.2500,-6.7827
69.5000,-50.7265
69.7500,-70.6288
70.0000,-53.6630
70.2500,-39.2979
70.5000,-35.1709
70.7500,-31.3980
71.0000,-30.3907
71.2500,-30.1465
71.5000,-29.0415
71.7500,-28.0891
72.0000,-24.7009
72.2500,-22.4237
72.5000,-22.8938
72.7500,-21.2576
73.0000,-23.5592
73.2500,-31.9841
73.5000,-33.7851
73.7500,-29.0842
74.0000,-26.6422
74.2500,-26.1111
74.5000,-25.2381
74.7500,-24.6703
75.0000,-24.8046
75.2500,-24.4872
75.5000,-18.3150
75.7500,17.9121
76.0000,41.3858
76.2500,58.6752
76.5000,30.0244
76.7500,-19.8291
77.0000,-29.8596
77.2500,-30.2991
77.5000,-29.2125
77.7500,-28.1441
78.0000,-29.3773
78.2500,-31.1477
78.5000,-34.7375
78.7500,-39.5360
79.0000,-34.1880
79.2500,-23.5470
79.5000,74.0293
79.7500,136.5018
80.0000,151.1294
80.2500,78.9377
80.5000,-10.4640
80.7500,-69.2735
81.0000,-69.4689
81.2500,-63.1136
81.5000,-56.1111
81.7500,-47.5275
82.0000,-32.5946
82.2500,-17.8632
82.5000,76.6728
82.7500,135.0855
83.0000,134.1026
83.2500,125.3358
83.5000,53.3089
83.7500,-76.8803
84.0000,-96.3553
84.2500,-75.5006
84.5000,-53.0708
84.7500,-43.0525
85.0000,-32.5214
85.2500,-29.2979
85.5000,-28.9194
85.7500,-26.4774
86.0000,-17.3871
86.2500,22.3687
86.5000,31.0684
86.7500,12.7961
87.0000,2.2161
87.2500,4.7863
87.5000,-13.7546
87.7500,-60.6899
88.0000,-61.9353
88.2500,-49.2796
88.5000,-33.9499
88.7500,-28.0403
89.0000,-26.4286
89.2500,-23.4371
89.5000,-18.8462
89.7500,22.2466
90.0000,64.8779
90.2500,43.0098
90.5000,35.6410
90.7500,30.1099
91.0000,-16.5873
91.2500,-81.6545
91.5000,-69.0598
91.7500,-42.3077
92.0000,-31.5751
92.2500,-25.0427
92.5000,-23.3272
92.7500,-24.1819
93.0000,-23.1990
93.2500,-2.4847
93.5000,39.1453
93.7500,54.7924
94.0000,59.7863
94.2500,43.1685
94.5000,32.4908
94.7500,-21.7827
95.0000,-76.6606
95.2500,-71.4835
95.5000,-50.8608
95.7500,-31.9719
96.0000,-25.2320
96.2500,-25.0977
96.5000,-22.0391
96.7500,-21.8926
97.0000,-12.3993
97.2500,47.5580
97.5000,56.0867
97.7500,37.4481
98.0000,32.3321
98.2500,26.3553
98.5000,-1.3797
98.7500,-69.6093
99.0000,-75.1709
