time_s,acc_x,acc_y,acc_z
0.00000,52.94286,-785.77143,-618.02857
0.00781,52.94286,-785.77143,-618.02857
0.01562,52.94286,-785.77143,-618.02857
0.02344,52.94286,-785.77143,-618.02857
0.03125,52.94286,-785.77143,-620.97143
0.03906,52.94286,-785.77143,-618.02857
0.04688,52.94286,-785.77143,-618.02857
0.05469,52.94286,-785.77143,-618.02857
0.06250,52.94286,-785.77143,-618.02857
0.07031,52.94286,-785.77143,-618.02857
0.07812,52.94286,-785.77143,-618.02857
0.08594,52.94286,-785.77143,-618.02857
0.09375,52.94286,-785.77143,-618.02857
0.10156,52.94286,-785.77143,-618.02857
0.10938,52.94286,-785.77143,-620.97143
0.11719,55.88571,-785.77143,-620.97143
0.12500,55.88571,-785.77143,-620.97143
0.13281,52.94286,-785.77143,-620.97143
0.14062,52.94286,-785.77143,-620.97143
0.14844,52.94286,-785.77143,-618.02857
0.15625,52.94286,-785.77143,-618.02857
0.16406,52.94286,-785.77143,-618.02857
0.17188,52.94286,-785.77143,-618.02857
0.17969,52.94286,-785.77143,-618.02857
0.18750,52.94286,-785.77143,-618.02857
0.19531,52.94286,-785.77143,-618.02857
0.20312,52.94286,-785.77143,-620.97143
0.21094,52.94286,-785.77143,-620.97143
0.21875,55.88571,-785.77143,-620.97143
0.22656,55.88571,-785.77143,-620.97143
0.23438,55.88571,-785.77143,-618.02857
0.24219,55.88571,-785.77143,-618.02857
0.25000,55.88571,-785.77143,-618.02857
0.25781,52.94286,-785.77143,-618.02857
0.26562,52.94286,-785.77143,-615.08571
0.27344,52.94286,-788.71429,-618.02857
0.28125,52.94286,-788.71429,-615.08571
0.28906,50.00000,-788.71429,-615.08571
0.29688,50.00000,-788.71429,-618.02857
0.30469,52.94286,-788.71429,-618.02857
0.31250,52.94286,-785.77143,-620.97143
0.32031,55.88571,-785.77143,-620.97143
0.32812,55.88571,-782.82857,-623.91429
0.33594,55.88571,-782.82857,-623.91429
0.34375,55.88571,-782.82857,-623.91429
0.35156,55.88571,-782.82857,-623.91429
0.35938,55.88571,-782.82857,-620.97143
0.36719,52.94286,-785.77143,-618.02857
0.37500,52.94286,-785.77143,-618.02857
0.38281,50.00000,-788.71429,-615.08571
0.39062,50.00000,-788.71429,-612.14286
0.39844,52.94286,-788.71429,-615.08571
0.40625,52.94286,-788.71429,-615.08571
0.41406,52.94286,-788.71429,-615.08571
0.42188,52.94286,-788.71429,-618.02857
0.42969,52.94286,-785.77143,-618.02857
0.43750,55.88571,-785.77143,-618.02857
0.44531,52.94286,-785.77143,-620.97143
0.45312,52.94286,-782.82857,-620.97143
0.46094,52.94286,-782.82857,-623.91429
0.46875,52.94286,-782.82857,-620.97143
0.47656,52.94286,-785.77143,-620.97143
0.48438,52.94286,-785.77143,-618.02857
0.49219,52.94286,-785.77143,-618.02857
0.50000,52.94286,-788.71429,-618.02857
0.50781,55.88571,-785.77143,-618.02857
0.51562,55.88571,-785.77143,-618.02857
0.52344,55.88571,-785.77143,-618.02857
0.53125,55.88571,-785.77143,-618.02857
0.53906,52.94286,-785.77143,-618.02857
0.54688,52.94286,-785.77143,-618.02857
0.55469,52.94286,-785.77143,-618.02857
0.56250,52.94286,-785.77143,-618.02857
0.57031,52.94286,-785.77143,-618.02857
0.57812,52.94286,-785.77143,-618.02857
0.58594,52.94286,-785.77143,-618.02857
0.59375,52.94286,-785.77143,-618.02857
0.60156,52.94286,-785.77143,-620.97143
0.60938,52.94286,-785.77143,-620.97143
0.61719,52.94286,-785.77143,-620.97143
0.62500,52.94286,-785.77143,-620.97143
0.63281,52.94286,-785.77143,-620.97143
0.64062,52.94286,-785.77143,-620.97143
0.64844,52.94286,-785.77143,-620.97143
0.65625,52.94286,-785.77143,-620.97143
0.66406,52.94286,-785.77143,-618.02857
0.67188,52.94286,-785.77143,-618.02857
0.67969,52.94286,-785.77143,-618.02857
0.68750,52.94286,-785.77143,-618.02857
0.69531,52.94286,-785.77143,-618.02857
0.70312,52.94286,-788.71429,-618.02857
0.71094,52.94286,-785.77143,-618.02857
0.71875,52.94286,-785.77143,-618.02857
0.72656,52.94286,-785.77143,-618.02857
0.73438,52.94286,-785.77143,-618.02857
0.74219,52.94286,-785.77143,-618.02857
0.75000,55.88571,-785.77143,-618.02857
0.75781,52.94286,-785.77143,-618.02857
0.76562,52.94286,-785.77143,-618.02857
0.77344,52.94286,-785.77143,-620.97143
0.78125,52.94286,-785.77143,-620.97143
0.78906,52.94286,-785.77143,-618.02857
0.79688,52.94286,-785.77143,-618.02857
0.80469,52.94286,-785.77143,-618.02857
0.81250,52.94286,-785.77143,-618.02857
0.82031,52.94286,-785.77143,-618.02857
0.82812,52.94286,-785.77143,-620.97143
0.83594,52.94286,-785.77143,-620.97143
0.84375,52.94286,-785.77143,-620.97143
0.85156,50.00000,-785.77143,-618.02857
0.85938,52.94286,-785.77143,-618.02857
0.86719,52.94286,-785.77143,-618.02857
0.87500,52.94286,-785.77143,-618.02857
