"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.206647100E-2,1.291260123E-2,-2.529144287E-3,2.674961090E-2,2.981062772E-2
1.706647100E-2,2.750688791E-2,-1.002168655E-2,1.626014709E-3,2.932076070E-2
2.206647100E-2,2.036738396E-2,-1.076138020E-2,-2.292823792E-2,3.250141115E-2
2.706647100E-2,2.676910162E-2,-1.346480846E-2,-8.168697357E-2,8.700946799E-2
3.206647100E-2,5.529761314E-3,-2.551472187E-2,-1.215887070E-1,1.243599331E-1
3.706647100E-2,-1.719105244E-2,-4.540026188E-2,-1.691331863E-1,1.759623562E-1
4.206647100E-2,-1.401209831E-2,-4.344403744E-2,-2.052993774E-1,2.103129993E-1
4.706647100E-2,-1.225280762E-2,-3.672516346E-2,-2.090005875E-1,2.125561443E-1
5.206647100E-2,1.298651099E-2,-1.582670212E-2,-2.022180557E-1,2.032517553E-1
5.706647100E-2,2.820912004E-2,-5.467295647E-3,-1.760749817E-1,1.784041618E-1
6.206647100E-2,3.791281581E-2,2.349042892E-2,-1.307163239E-1,1.381156732E-1
6.706647100E-2,3.772605956E-2,3.493237495E-2,-8.903980255E-2,1.028183487E-1
7.206647100E-2,5.134610832E-2,6.702196598E-2,-2.374744415E-2,8.770580293E-2
7.706647100E-2,4.521039128E-2,8.127844334E-2,-1.063728333E-2,9.361258798E-2
8.206647100E-2,3.176675737E-2,8.716285229E-2,-6.437301636E-4,9.277340180E-2
8.706647100E-2,1.878476143E-2,8.232522011E-2,3.538513184E-2,9.155553879E-2
9.206647100E-2,3.841251135E-3,6.753969193E-2,3.944015503E-2,7.830639198E-2
9.706647100E-2,-1.308464706E-1,-1.993548870E-2,6.002426147E-2,1.453311204E-1
1.020664710E-1,-5.070662498E-1,-3.527474403E-1,-1.216831207E-1,6.295662954E-1
1.070664710E-1,-2.099197805E-1,-2.924771309E-1,-1.159648895E-1,3.782288222E-1
1.120664710E-1,-1.744779944E-2,-2.040789127E-1,-8.603668213E-2,2.221597151E-1
1.170664710E-1,8.929362893E-2,-1.228822470E-1,-1.668930054E-2,1.528133880E-1
1.220664710E-1,1.339310855E-1,-5.249512196E-2,4.585456848E-2,1.509831611E-1
1.270664710E-1,1.552335769E-1,9.746551514E-4,1.078691483E-1,1.890348288E-1
1.320664710E-1,1.450695843E-1,2.274823189E-2,1.257886887E-1,1.933532015E-1
1.370664710E-1,8.303113282E-2,4.757869244E-2,9.923553467E-2,1.378607715E-1
1.420664710E-1,-1.345832944E-1,-2.128529549E-2,6.055831909E-3,1.363906156E-1
1.470664710E-1,-2.367316484E-1,-6.238472462E-2,-1.100568771E-1,2.684143130E-1
1.520664710E-1,-1.474418640E-1,-3.747272491E-2,-1.746873856E-1,2.316441043E-1
1.570664710E-1,-9.969359636E-2,1.302313805E-2,-1.985073090E-1,2.225164421E-1
1.620664710E-1,-8.592268825E-2,5.989515781E-2,-1.829338074E-1,2.107959112E-1
1.670664710E-1,-8.464238048E-2,9.623944759E-2,-1.830453873E-1,2.234546434E-1
1.720664710E-1,-4.753589630E-2,1.225843430E-1,-1.379156113E-1,1.905447412E-1
1.770664710E-1,-4.312306643E-2,1.327635050E-1,-6.726837158E-2,1.549541252E-1
1.820664710E-1,-6.265023351E-2,1.430231333E-1,-1.992034912E-2,1.574086679E-1
1.870664710E-1,-8.385181427E-2,1.521899700E-1,1.783847809E-2,1.746743399E-1
1.920664710E-1,-7.119897008E-2,1.706728935E-1,2.028369904E-2,1.860375187E-1
1.970664710E-1,-5.922791362E-2,1.900041103E-1,1.066112518E-2,1.993067166E-1
2.020664710E-1,-3.017267585E-2,2.043628693E-1,8.644104004E-3,2.067590221E-1
2.070664710E-1,-1.412594318E-2,2.012637854E-1,-3.376770020E-2,2.045651758E-1
2.120664710E-1,4.047590494E-2,2.016071081E-1,-5.913543701E-2,2.139643074E-1
2.170664710E-1,7.090404630E-2,1.816855669E-1,-7.939052582E-2,2.105703792E-1
2.220664710E-1,6.756570935E-2,1.401422024E-1,-1.181173325E-1,1.953373139E-1
2.270664710E-1,9.409353137E-2,1.129729748E-1,-1.283264160E-1,1.951516198E-1
2.320664710E-1,6.507831812E-2,4.481816292E-2,-1.378984451E-1,1.589334338E-1
2.370664710E-1,2.651861310E-2,1.399743557E-2,-1.706504822E-1,1.732649766E-1
2.420664710E-1,-3.882527351E-3,-3.810846806E-2,-1.480531693E-1,1.529283175E-1
2.470664710E-1,-4.642239213E-2,-8.172404766E-2,-9.936714172E-2,1.367760480E-1
2.520664710E-1,-9.957173467E-2,-1.032058001E-1,-6.810855865E-2,1.587600179E-1
2.570664710E-1,-1.481589973E-1,-1.331843138E-1,-4.901695251E-2,2.051628903E-1
2.620664710E-1,-1.768594682E-1,-1.500047445E-1,1.352310181E-2,2.323006009E-1
2.670664710E-1,-1.691796184E-1,-1.440222263E-1,5.970001221E-2,2.300613753E-1
